home_team_name,away_team_name,home_team_id,away_team_id,Ofensiva_Local,Defensa_Local,Promedio_Hits_Local,Promedio_Errores_Local,Ofensiva_Visitante,Defensa_Visitante,Promedio_Hits_Visitante,Promedio_Errores_Visitante,features,rawPrediction,probability,prediction,prob_array,Prob_Visitante_%,Prob_Local_%,Recomendacion_IA
Pittsburgh Pirates,St. Louis Cardinals,22.0,22.0,0.0,0.0,0.0,0.0,5.4,5.4,8.4,0.4,"[22.0,22.0,0.0,5.4,0.0,5.4,0.0,8.4,0.0,0.4]","[2.0743547056917175,27.925645294308286]","[0.06914515685639058,0.9308548431436094]",1.0,"[0.06914515685639058, 0.9308548431436094]",6.91,93.09,Apunta a Local (Favorito)
Toronto Blue Jays,Boston Red Sox,12.0,3.0,5.2,5.2,9.6,0.4,0.0,0.0,0.0,0.0,"[12.0,3.0,5.2,0.0,5.2,0.0,9.6,0.0,0.4,0.0]","[11.080246786320641,18.91975321367936]","[0.36934155954402137,0.6306584404559786]",1.0,"[0.36934155954402137, 0.6306584404559786]",36.93,63.07,Apunta a Local (Favorito)
Chicago White Sox,Los Angeles Angels,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1],[17.0,1.0])","[9.71491679467486,20.28508320532514]","[0.3238305598224953,0.6761694401775047]",1.0,"[0.3238305598224953, 0.6761694401775047]",32.38,67.62,Apunta a Local (Favorito)
San Diego Padres,Chicago Cubs,10.0,23.0,2.4,5.0,5.8,0.4,4.8,4.4,7.0,0.2,"[10.0,23.0,2.4,4.8,5.0,4.4,5.8,7.0,0.4,0.2]","[3.159635268209122,26.840364731790878]","[0.10532117560697074,0.8946788243930293]",1.0,"[0.10532117560697074, 0.8946788243930293]",10.53,89.47,Apunta a Local (Favorito)
Minnesota Twins,Seattle Mariners,22.0,23.0,0.0,0.0,0.0,0.0,4.0,3.17,6.67,0.5,"[22.0,23.0,0.0,4.0,0.0,3.17,0.0,6.67,0.0,0.5]","[2.0315334051284815,27.96846659487152]","[0.06771778017094938,0.9322822198290506]",1.0,"[0.06771778017094938, 0.9322822198290506]",6.77,93.23,Apunta a Local (Favorito)
Los Angeles Dodgers,Miami Marlins,6.0,20.0,4.4,2.6,7.8,0.0,4.6,3.6,8.6,0.8,"[6.0,20.0,4.4,4.6,2.6,3.6,7.8,8.6,0.0,0.8]","[5.748270049607062,24.25172995039294]","[0.19160900165356873,0.8083909983464312]",1.0,"[0.19160900165356873, 0.8083909983464312]",19.16,80.84,Apunta a Local (Favorito)
Texas Rangers,New York Yankees,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1],[22.0,8.0])","[8.341318911076975,21.65868108892303]","[0.2780439637025658,0.7219560362974342]",1.0,"[0.2780439637025658, 0.7219560362974342]",27.8,72.2,Apunta a Local (Favorito)
